Age,Debt,Married,BankCustomer,EducationLevel,YearEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,Income,Approved
18.17,10.0,y,p,q,0.165,f,f,0,f,g,0,Not_Approved
28.0,2.0,u,g,k,4.165,t,t,2,t,g,0,Approved
56.58,18.5,u,g,d,15.0,t,t,17,t,g,0,Approved
29.75,0.665,u,g,w,0.25,f,f,0,t,g,0,Not_Approved
25.0,11.0,y,p,aa,4.5,t,f,0,f,g,0,Not_Approved
25.33,0.58,u,g,c,0.29,t,t,7,t,g,5124,Approved
21.08,4.125,y,p,i,0.04,f,f,0,f,g,100,Not_Approved
29.58,4.75,u,g,m,2.0,f,t,1,t,g,68,Not_Approved
23.5,3.165,y,p,k,0.415,f,t,1,t,g,80,Not_Approved
22.25,1.25,y,p,ff,3.25,f,f,0,f,g,0,Not_Approved
31.67,16.165,u,g,d,3.0,t,t,9,f,g,730,Approved
33.25,2.5,y,p,c,2.5,f,f,0,t,g,2,Not_Approved
20.67,0.415,u,g,c,0.125,f,f,0,f,g,44,Not_Approved
24.75,0.54,u,g,m,1.0,f,f,0,t,g,1,Not_Approved
29.83,3.5,u,g,c,0.165,f,f,0,f,g,0,Not_Approved
47.83,4.165,u,g,x,0.085,f,f,0,t,g,0,Not_Approved
37.5,0.835,u,g,e,0.04,f,f,0,f,g,5,Not_Approved
35.25,16.5,y,p,c,4.0,t,f,0,f,g,0,Not_Approved
18.58,10.29,u,g,ff,0.415,f,f,0,f,g,0,Not_Approved
29.42,1.25,u,g,w,1.75,f,f,0,f,g,0,Not_Approved
33.17,1.0,u,g,x,0.75,t,t,7,t,g,4071,Approved
48.17,1.335,u,g,i,0.335,f,f,0,f,g,120,Not_Approved
51.58,15.0,u,g,c,8.5,t,t,9,f,g,0,Approved
43.17,5.0,u,g,i,2.25,f,f,0,t,g,0,Not_Approved
22.08,11.46,u,g,k,1.585,f,f,0,t,g,1212,Not_Approved
24.92,1.25,u,g,ff,0.0,t,f,0,f,g,0,Not_Approved
60.08,14.5,u,g,ff,18.0,t,t,15,t,g,1000,Approved
26.67,2.71,y,p,cc,5.25,t,t,1,f,g,0,Approved
22.5,0.415,u,g,i,0.335,f,f,0,t,s,0,Not_Approved
73.42,17.75,u,g,ff,0.0,t,f,0,t,g,0,Approved
23.17,11.125,u,g,x,0.46,t,t,1,f,g,0,Approved
22.58,10.04,u,g,x,0.04,t,t,9,f,g,396,Approved
31.08,1.5,y,p,w,0.04,f,f,0,f,s,0,Not_Approved
41.0,0.04,u,g,e,0.04,f,t,1,f,s,0,Approved
20.83,8.5,u,g,c,0.165,f,f,0,f,g,351,Not_Approved
46.08,3.0,u,g,c,2.375,t,t,8,t,g,4159,Approved
26.67,1.75,y,p,c,1.0,t,t,5,t,g,5777,Approved
36.17,5.5,u,g,i,5.0,f,f,0,f,g,687,Not_Approved
16.0,0.165,u,g,aa,1.0,f,t,2,t,g,1,Not_Approved
19.17,8.585,u,g,cc,0.75,t,t,7,f,g,0,Approved
27.25,1.585,u,g,cc,1.835,t,t,12,t,g,713,Approved
22.67,10.5,u,g,q,1.335,t,f,0,f,g,0,Approved
22.5,8.46,y,p,x,2.46,f,f,0,f,g,0,Approved
41.17,1.25,y,p,w,0.25,f,f,0,f,g,195,Not_Approved
37.75,5.5,u,g,q,0.125,t,f,0,t,g,0,Approved
30.17,6.5,u,g,cc,3.125,t,t,8,f,g,1200,Approved
23.75,12.0,u,g,c,2.085,f,f,0,f,s,0,Not_Approved
47.42,3.0,u,g,x,13.875,t,t,2,t,g,1704,Approved
16.25,0.835,u,g,m,0.085,t,f,0,f,s,0,Not_Approved
27.17,1.25,u,g,ff,0.0,f,t,1,f,g,300,Not_Approved
32.08,4.0,u,g,m,2.5,t,f,0,t,g,0,Approved
27.25,0.29,u,g,m,0.125,f,t,1,t,g,108,Not_Approved
28.0,3.0,u,g,w,0.75,f,f,0,t,g,67,Not_Approved
22.5,8.5,u,g,q,1.75,t,t,10,f,g,990,Not_Approved
36.33,2.125,y,p,w,0.085,t,t,1,f,g,1187,Approved
28.67,1.04,u,g,c,2.5,t,t,5,t,g,1430,Approved
21.58,0.79,y,p,cc,0.665,f,f,0,f,g,0,Not_Approved
21.92,0.54,y,p,x,0.04,t,t,1,t,g,59,Approved
23.25,5.875,u,g,q,3.17,t,t,10,f,g,245,Approved
40.0,6.5,u,g,aa,3.5,t,t,1,f,g,500,Approved
53.33,0.165,u,g,ff,0.0,f,f,0,t,s,27,Not_Approved
36.25,5.0,u,g,c,2.5,t,t,6,f,g,367,Approved
22.33,11.0,u,g,w,2.0,t,t,1,f,g,278,Approved
20.67,1.25,y,p,c,1.375,t,t,3,t,g,210,Not_Approved
20.17,5.625,u,g,w,1.71,t,f,0,f,s,0,Approved
31.92,3.125,u,g,ff,3.04,f,t,2,t,g,4,Not_Approved
40.83,10.0,u,g,q,1.75,t,f,0,f,g,837,Approved
55.75,7.08,u,g,k,6.75,t,t,3,t,g,50,Not_Approved
49.5,7.585,u,g,i,7.585,t,t,15,t,g,5000,Approved
34.75,2.5,u,g,cc,0.5,f,f,0,f,g,0,Not_Approved
29.67,0.75,y,p,c,0.04,f,f,0,f,g,0,Not_Approved
40.25,21.5,u,g,e,20.0,t,t,11,f,g,1200,Approved
48.17,3.5,u,g,aa,3.5,t,f,0,f,s,0,Approved
28.17,0.375,u,g,q,0.585,t,t,4,f,g,0,Approved
15.83,7.625,u,g,q,0.125,f,t,1,t,g,160,Not_Approved
38.42,0.705,u,g,c,0.375,f,t,2,f,g,500,Not_Approved
19.17,4.0,y,p,i,1.0,f,f,0,t,g,1000,Not_Approved
39.17,2.5,y,p,i,10.0,f,f,0,t,s,0,Not_Approved
32.0,1.75,y,p,e,0.04,t,f,0,t,g,0,Approved
36.42,0.75,y,p,d,0.585,f,f,0,f,g,3,Not_Approved
71.58,0.0,,,,0.0,f,f,0,f,p,0,Approved
21.08,10.085,y,p,e,1.25,f,f,0,f,g,0,Not_Approved
20.5,10.0,y,p,c,2.5,t,f,0,f,s,0,Approved
55.92,11.5,u,g,ff,5.0,t,t,5,f,g,8851,Approved
29.25,13.0,u,g,d,0.5,f,f,0,f,g,0,Not_Approved
21.67,1.165,y,p,k,2.5,t,t,1,f,g,20,Not_Approved
,5.0,y,p,aa,8.5,t,f,0,f,g,0,Not_Approved
17.58,10.0,u,g,w,0.165,f,t,1,f,g,1,Not_Approved
43.0,0.29,y,p,cc,1.75,t,t,8,f,g,375,Approved
28.17,0.125,y,p,k,0.085,f,f,0,f,g,2100,Not_Approved
47.67,0.29,u,g,c,15.0,t,t,20,f,g,15000,Approved
27.58,3.0,u,g,m,2.79,f,t,1,t,g,10,Not_Approved
22.67,1.585,y,p,w,3.085,t,t,6,f,g,0,Approved
19.42,6.5,u,g,w,1.46,t,t,7,f,g,2954,Approved
17.58,9.0,u,g,aa,1.375,t,f,0,t,g,0,Approved
25.25,1.0,u,g,aa,0.5,f,f,0,f,g,0,Not_Approved
23.5,9.0,u,g,q,8.5,t,t,5,t,g,0,Approved
46.0,4.0,u,g,j,0.0,t,f,0,f,g,960,Approved
39.58,5.0,u,g,ff,0.0,f,t,2,f,g,1,Not_Approved
32.25,0.165,y,p,c,3.25,t,t,1,t,g,8000,Approved
41.75,0.96,u,g,x,2.5,t,f,0,f,g,600,Approved
18.83,3.54,y,p,ff,0.0,f,f,0,t,g,1,Not_Approved
31.25,2.835,u,g,ff,0.0,f,t,5,f,g,146,Not_Approved
60.58,16.5,u,g,q,11.0,t,f,0,t,g,10561,Approved
17.08,3.29,u,g,i,0.335,f,f,0,t,g,2,Not_Approved
28.33,5.0,u,g,w,11.0,t,f,0,t,g,0,Approved
21.25,1.5,u,g,w,1.5,f,f,0,f,g,8,Approved
20.42,1.085,u,g,q,1.5,f,f,0,f,g,7,Not_Approved
39.5,4.25,u,g,c,6.5,t,t,16,f,g,1210,Approved
33.67,2.165,u,g,c,1.5,f,f,0,f,p,0,Not_Approved
17.67,0.0,y,p,j,0.0,f,f,0,f,g,0,Not_Approved
,3.5,u,g,d,3.0,t,f,0,t,g,0,Not_Approved
19.33,9.5,u,g,q,1.0,t,f,0,t,g,400,Approved
23.58,11.5,y,p,k,3.0,f,f,0,t,g,16,Not_Approved
22.67,7.0,u,g,c,0.165,f,f,0,f,g,0,Not_Approved
23.0,0.75,u,g,m,0.5,f,f,0,t,s,0,Not_Approved
18.83,9.54,u,g,aa,0.085,t,f,0,f,g,0,Approved
23.08,11.5,u,g,w,2.125,t,t,11,t,g,284,Approved
58.58,2.71,u,g,c,2.415,f,f,0,t,g,0,Not_Approved
38.17,10.125,u,g,x,2.5,t,t,6,f,g,196,Approved
57.08,19.5,u,g,c,5.5,t,t,7,f,g,3000,Approved
31.42,15.5,u,g,c,0.5,t,f,0,f,g,0,Not_Approved
24.17,0.875,u,g,q,4.625,t,t,2,t,g,2000,Approved
23.42,0.585,u,g,c,0.085,t,f,0,f,g,0,Not_Approved
23.08,0.0,u,g,k,1.0,f,t,11,f,s,0,Not_Approved
30.67,2.5,u,g,cc,2.25,f,f,0,t,s,0,Not_Approved
27.75,0.585,y,p,cc,0.25,t,t,2,f,g,500,Approved
,10.5,u,g,x,6.5,t,f,0,f,g,0,Approved
27.83,1.5,u,g,w,2.25,f,t,1,t,g,3,Not_Approved
30.42,1.375,u,g,w,0.04,f,t,3,f,g,33,Not_Approved
23.92,0.585,y,p,cc,0.125,f,f,0,f,g,1,Not_Approved
31.0,2.085,u,g,c,0.085,f,f,0,f,g,0,Not_Approved
20.0,11.045,u,g,c,2.0,f,f,0,t,g,0,Not_Approved
40.58,3.29,u,g,m,3.5,f,f,0,t,s,0,Not_Approved
31.08,3.085,u,g,c,2.5,f,t,2,t,g,41,Not_Approved
18.75,7.5,u,g,q,2.71,t,t,5,f,g,26726,Approved
44.33,0.5,u,g,i,5.0,t,f,0,t,g,0,Approved
31.33,19.5,u,g,c,7.0,t,t,16,f,g,5000,Approved
22.42,5.665,u,g,q,2.585,t,t,7,f,g,3257,Approved
18.92,9.25,y,p,c,1.0,t,t,4,t,g,500,Approved
48.25,25.085,u,g,w,1.75,t,t,3,f,g,14,Approved
24.42,12.335,u,g,q,1.585,t,f,0,t,g,0,Approved
32.08,4.0,y,p,cc,1.5,f,f,0,t,g,0,Not_Approved
17.08,0.085,y,p,c,0.04,f,f,0,f,g,722,Not_Approved
20.5,2.415,u,g,c,2.0,t,t,11,t,g,3000,Approved
30.83,0.0,u,g,w,1.25,t,t,1,f,g,0,Approved
34.42,1.335,u,g,i,0.125,f,f,0,t,g,4500,Not_Approved
20.75,10.335,u,g,cc,0.335,t,t,1,t,g,50,Approved
31.25,3.75,u,g,cc,0.625,t,t,9,t,g,0,Approved
19.42,7.25,u,g,m,0.04,f,t,1,f,g,1,Not_Approved
33.17,1.04,u,g,r,6.5,t,f,0,t,g,31285,Approved
27.58,3.25,y,p,q,5.085,f,t,2,t,g,1,Not_Approved
41.33,1.0,u,g,i,2.25,t,f,0,t,g,300,Approved
32.33,0.54,u,g,cc,0.04,t,f,0,f,g,11177,Approved
28.75,3.75,u,g,c,1.085,t,t,1,t,g,0,Approved
20.42,1.835,u,g,c,2.25,t,t,1,f,g,150,Approved
23.75,0.415,y,p,c,0.04,f,t,2,f,g,6,Not_Approved
23.42,1.0,u,g,c,0.5,f,f,0,t,s,0,Not_Approved
32.83,2.5,u,g,cc,2.75,t,t,6,f,g,2072,Approved
24.58,12.5,u,g,w,0.875,t,f,0,t,g,0,Not_Approved
19.17,9.5,u,g,w,1.5,t,f,0,f,g,2206,Approved
40.83,3.5,u,g,i,0.5,f,f,0,f,s,0,Not_Approved
52.5,7.0,u,g,aa,3.0,f,f,0,f,g,0,Not_Approved
21.5,9.75,u,g,c,0.25,t,f,0,f,g,0,Not_Approved
21.33,10.5,u,g,c,3.0,t,f,0,t,g,0,Approved
33.0,2.5,y,p,w,7.0,f,f,0,t,g,0,Not_Approved
23.25,12.625,u,g,c,0.125,f,t,2,f,g,5552,Not_Approved
39.5,1.625,u,g,c,1.5,f,f,0,f,g,316,Not_Approved
32.67,9.0,y,p,w,5.25,t,f,0,t,g,0,Approved
34.92,5.0,u,g,x,7.5,t,t,6,t,g,1000,Approved
37.17,4.0,u,g,c,5.0,t,f,0,t,s,0,Not_Approved
22.08,2.335,u,g,k,0.75,f,f,0,f,g,0,Not_Approved
38.33,4.415,u,g,c,0.125,f,f,0,f,g,0,Not_Approved
69.17,9.0,u,g,ff,4.0,f,t,1,f,g,6,Not_Approved
29.42,1.25,u,g,c,0.25,f,t,2,t,g,108,Not_Approved
21.83,1.54,u,g,k,0.085,f,f,0,t,g,0,Not_Approved
40.92,0.5,y,p,m,0.5,f,f,0,t,g,0,Not_Approved
34.25,1.75,u,g,w,0.25,t,f,0,t,g,0,Not_Approved
35.17,25.125,u,g,x,1.625,t,t,1,t,g,500,Approved
26.17,0.835,u,g,cc,1.165,f,f,0,f,g,0,Not_Approved
27.67,2.0,u,g,x,1.0,t,t,4,f,g,7544,Approved
43.25,3.0,u,g,q,6.0,t,t,11,f,g,0,Approved
24.33,2.5,y,p,i,4.5,f,f,0,f,g,456,Not_Approved
37.5,1.125,y,p,d,1.5,f,f,0,t,g,0,Approved
54.33,6.75,u,g,c,2.625,t,t,11,t,g,284,Approved
52.33,1.375,y,p,c,9.46,t,f,0,t,g,100,Not_Approved
28.25,5.04,y,p,c,1.5,t,t,8,t,g,7,Approved
21.92,11.665,u,g,k,0.085,f,f,0,f,g,5,Not_Approved
44.0,2.0,u,g,m,1.75,t,t,2,t,g,15,Approved
19.42,1.5,y,p,cc,2.0,t,f,0,t,g,20,Not_Approved
24.08,0.875,u,g,m,0.085,f,t,4,f,g,1950,Not_Approved
21.17,0.0,u,g,c,0.5,f,f,0,t,s,0,Not_Approved
17.92,10.21,u,g,ff,0.0,f,f,0,f,g,50,Not_Approved
21.17,0.875,y,p,c,0.25,f,f,0,f,g,204,Not_Approved
22.5,11.0,y,p,q,3.0,t,f,0,t,g,0,Not_Approved
16.25,0.0,y,p,aa,0.25,f,f,0,f,g,0,Not_Approved
16.17,0.04,u,g,c,0.04,f,f,0,f,g,0,Approved
17.25,3.0,u,g,k,0.04,f,f,0,t,g,40,Not_Approved
41.58,1.04,u,g,aa,0.665,f,f,0,f,g,237,Not_Approved
22.25,9.0,u,g,aa,0.085,f,f,0,f,g,0,Not_Approved
26.17,2.0,u,g,j,0.0,f,f,0,t,g,1,Not_Approved
24.58,1.25,u,g,c,0.25,f,f,0,f,g,0,Not_Approved
41.33,0.0,u,g,c,15.0,t,f,0,f,g,0,Approved
34.5,4.04,y,p,i,8.5,t,t,7,t,g,0,Approved
21.5,6.0,u,g,aa,2.5,t,t,3,f,g,918,Approved
42.75,3.0,u,g,i,1.0,t,f,0,f,g,200,Not_Approved
31.25,1.125,u,g,ff,0.0,f,t,1,f,g,19,Not_Approved
30.08,1.04,y,p,i,0.5,t,t,10,t,g,28,Not_Approved
37.33,2.665,u,g,cc,0.165,f,f,0,t,g,501,Not_Approved
58.33,10.0,u,g,q,4.0,t,t,14,f,g,1602,Approved
18.08,5.5,u,g,k,0.5,t,f,0,f,g,0,Approved
19.5,0.29,u,g,k,0.29,f,f,0,f,g,364,Not_Approved
34.08,6.5,u,g,aa,0.125,t,f,0,t,g,0,Not_Approved
18.92,9.0,u,g,aa,0.75,t,t,2,f,g,591,Approved
22.17,12.125,u,g,c,3.335,f,t,2,t,g,173,Not_Approved
19.17,0.585,y,p,aa,0.585,t,f,0,t,g,0,Not_Approved
23.25,4.0,u,g,c,0.25,t,f,0,t,g,0,Approved
26.92,2.25,u,g,i,0.5,f,f,0,t,g,4000,Not_Approved
44.33,0.0,u,g,c,2.5,t,f,0,f,g,0,Approved
25.42,0.54,u,g,w,0.165,f,t,1,f,g,444,Not_Approved
20.75,5.085,y,p,j,0.29,f,f,0,f,g,184,Not_Approved
32.0,6.0,u,g,d,1.25,f,f,0,f,g,0,Not_Approved
39.33,5.875,u,g,cc,10.0,t,t,14,t,g,0,Approved
34.58,0.0,,,,0.0,f,f,0,f,p,0,Not_Approved
33.58,2.75,u,g,m,4.25,t,t,6,f,g,0,Approved
25.5,0.375,u,g,m,0.25,t,t,3,f,g,15108,Approved
37.58,0.0,,,,0.0,f,f,0,f,p,0,Approved
15.92,2.875,u,g,q,0.085,f,f,0,f,g,0,Not_Approved
16.08,0.75,u,g,c,1.75,t,t,5,t,g,690,Approved
29.58,4.5,u,g,w,7.5,t,t,2,t,g,0,Approved
48.5,4.25,u,g,m,0.125,t,f,0,t,g,0,Approved
26.75,2.0,u,g,d,0.75,f,f,0,t,g,0,Not_Approved
35.0,2.5,u,g,i,1.0,f,f,0,t,g,0,Not_Approved
47.75,8.0,u,g,c,7.875,t,t,6,t,g,1260,Approved
25.67,0.29,y,p,c,1.5,f,f,0,t,g,0,Not_Approved
51.83,3.0,y,p,ff,1.5,f,f,0,f,g,4,Not_Approved
34.83,4.0,u,g,d,12.5,t,f,0,t,g,0,Not_Approved
45.0,4.585,u,g,k,1.0,f,f,0,t,s,0,Not_Approved
24.75,12.5,u,g,aa,1.5,t,t,12,t,g,567,Approved
42.0,0.205,u,g,i,5.125,t,f,0,f,g,0,Approved
52.17,0.0,y,p,ff,0.0,f,f,0,f,g,0,Not_Approved
26.58,2.54,y,p,ff,0.0,f,f,0,t,g,60,Not_Approved
28.67,14.5,u,g,d,0.125,f,f,0,f,g,286,Not_Approved
23.5,1.5,u,g,w,0.875,f,f,0,t,g,0,Not_Approved
59.5,2.75,u,g,w,1.75,t,t,5,t,g,58,Approved
19.0,1.75,y,p,c,2.335,f,f,0,t,g,6,Not_Approved
27.83,1.5,u,g,w,2.0,t,t,11,t,g,35,Approved
18.5,2.0,u,g,i,1.5,t,t,2,f,g,300,Approved
28.92,0.375,u,g,c,0.29,f,f,0,f,g,140,Not_Approved
63.33,0.54,u,g,c,0.585,t,t,3,t,g,0,Not_Approved
50.25,0.835,u,g,aa,0.5,f,f,0,t,g,117,Not_Approved
23.17,0.0,,,,0.0,f,f,0,f,p,0,Approved
33.17,3.04,y,p,c,2.04,t,t,1,t,g,18027,Approved
24.33,6.625,y,p,d,5.5,t,f,0,t,s,0,Approved
56.0,12.5,u,g,k,8.0,t,f,0,t,g,2028,Approved
42.08,1.04,u,g,w,5.0,t,t,6,t,g,10000,Approved
34.0,5.5,y,p,c,1.5,f,f,0,t,g,0,Not_Approved
20.83,3.0,u,g,aa,0.04,t,f,0,f,g,0,Approved
,1.5,u,g,ff,0.0,f,t,2,t,g,105,Not_Approved
33.58,0.25,u,g,i,4.0,f,f,0,t,s,0,Not_Approved
35.42,12.0,u,g,q,14.0,t,t,8,f,g,6590,Approved
26.5,2.71,y,p,,0.085,f,f,0,f,s,0,Not_Approved
29.5,1.085,y,p,x,1.0,f,f,0,f,g,13,Not_Approved
39.92,0.54,y,p,aa,0.5,t,t,3,f,g,1000,Approved
18.83,4.415,y,p,c,3.0,t,f,0,f,g,0,Approved
22.5,0.125,y,p,k,0.125,f,f,0,f,g,70,Not_Approved
22.08,11.0,u,g,cc,0.665,t,f,0,f,g,0,Approved
26.83,0.54,u,g,k,0.0,f,f,0,f,g,0,Not_Approved
30.5,6.5,u,g,c,4.0,t,t,7,t,g,3065,Approved
18.25,10.0,u,g,w,1.0,f,t,1,f,g,1,Not_Approved
40.58,5.0,u,g,c,5.0,t,t,7,f,g,3065,Approved
41.17,1.335,u,g,d,0.165,f,f,0,f,g,0,Not_Approved
20.08,0.25,u,g,q,0.125,f,f,0,f,g,0,Not_Approved
25.17,3.0,u,g,c,1.25,f,t,1,f,g,22,Not_Approved
,3.0,y,p,i,7.0,f,f,0,f,g,1,Not_Approved
22.83,3.0,u,g,m,1.29,t,t,1,f,g,800,Approved
25.25,13.5,y,p,ff,2.0,f,t,1,t,g,1,Not_Approved
17.92,0.54,u,g,c,1.75,f,t,1,t,g,5,Not_Approved
28.58,3.75,u,g,c,0.25,f,t,1,t,g,154,Not_Approved
39.0,5.0,u,g,cc,3.5,t,t,10,t,g,0,Approved
34.08,0.08,y,p,m,0.04,t,t,1,t,g,2000,Approved
32.92,2.5,u,g,aa,1.75,f,t,2,t,g,0,Not_Approved
35.17,3.75,u,g,ff,0.0,f,t,6,f,g,200,Not_Approved
39.25,9.5,u,g,m,6.5,t,t,14,f,g,4607,Approved
35.75,2.415,u,g,w,0.125,f,t,2,f,g,1,Not_Approved
20.33,10.0,u,g,c,1.0,t,t,4,f,g,1465,Approved
36.17,0.42,y,p,w,0.29,f,f,0,t,g,2,Not_Approved
49.83,13.585,u,g,k,8.5,t,f,0,t,g,0,Approved
62.5,12.75,y,p,c,5.0,t,f,0,f,g,0,Not_Approved
47.42,8.0,u,g,e,6.5,t,t,6,f,g,51100,Approved
38.25,10.125,y,p,k,0.125,f,f,0,f,g,0,Not_Approved
18.58,5.71,u,g,d,0.54,f,f,0,f,g,0,Not_Approved
19.0,0.0,y,p,ff,0.0,f,t,4,f,g,1,Not_Approved
34.67,1.08,u,g,m,1.165,f,f,0,f,s,0,Not_Approved
22.67,0.75,u,g,i,1.585,f,t,1,t,g,9,Not_Approved
20.42,10.5,y,p,x,0.0,f,f,0,t,g,32,Not_Approved
