custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,responded_score
32.0,admin.,married,,no,no,no,cellular,may,thu,1,6,1,success,-1.8,92.89299999999999,-46.2,1.327,5099.1,0.2,1,yes,7985
31.0,admin.,married,university.degree,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,5135
26.0,admin.,married,,no,no,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999.0,0,no,6168
28.0,blue-collar,single,basic.4y,no,yes,no,cellular,may,,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,0,no,3697
30.0,self-employed,married,,no,no,no,cellular,jul,thu,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,994
,admin.,married,university.degree,no,no,no,cellular,mar,fri,2,999,1,failure,-1.8,93.369,-34.8,0.649,5008.7,999.0,3,no,5620
,management,married,university.degree,no,no,no,telephone,apr,wed,4,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,999.0,0,no,868
47.0,technician,married,,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,2983
37.0,blue-collar,single,,no,no,no,telephone,jun,,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999.0,0,no,5180
33.0,admin.,married,university.degree,no,no,no,cellular,nov,,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,999.0,5,no,116
26.0,blue-collar,single,high.school,unknown,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no,2684
32.0,admin.,single,university.degree,no,yes,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,5048
,technician,divorced,,no,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,6340
54.0,retired,divorced,,no,yes,no,cellular,may,fri,5,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,1,no,7305
,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,no,2547
,management,married,university.degree,no,no,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,no,3517
22.0,student,single,high.school,no,yes,yes,cellular,may,mon,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,999.0,0,yes,7372
43.0,technician,married,basic.6y,no,yes,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no,3837
35.0,admin.,married,university.degree,no,yes,no,cellular,aug,,6,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999.0,0,no,3468
27.0,admin.,married,,no,yes,no,telephone,jul,wed,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,no,605
30.0,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999.0,0,no,98
,services,married,university.degree,no,yes,no,cellular,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no,3197
35.0,blue-collar,married,,unknown,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,2480
37.0,self-employed,single,,no,unknown,unknown,cellular,jul,mon,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,1258
27.0,blue-collar,married,high.school,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,303
43.0,management,single,,no,yes,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,no,7156
31.0,blue-collar,married,,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,yes,8176
,management,married,,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,no,2483
28.0,entrepreneur,married,,unknown,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,0,no,5171
57.0,retired,married,high.school,unknown,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,999.0,0,no,1901
38.0,management,married,unknown,unknown,no,no,telephone,jun,wed,9,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999.0,0,yes,7853
,technician,married,professional.course,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,999.0,0,no,466
34.0,services,married,high.school,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,999.0,0,no,4842
,admin.,married,,no,no,no,telephone,jun,,14,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999.0,0,no,6127
,admin.,married,university.degree,no,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,999.0,0,no,3102
56.0,admin.,married,basic.4y,no,no,no,cellular,aug,,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,no,4683
52.0,blue-collar,married,basic.9y,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,no,3233
39.0,entrepreneur,single,university.degree,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,-1.7,94.055,-39.8,0.727,4991.6,999.0,0,no,2324
29.0,technician,married,professional.course,no,no,yes,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,1877
67.0,retired,married,,no,yes,no,telephone,apr,thu,4,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,999.0,0,no,1380
,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999.0,0,no,6385
41.0,blue-collar,married,unknown,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,1004
,entrepreneur,divorced,university.degree,no,yes,no,cellular,may,thu,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.27,5099.1,999.0,2,no,3969
37.0,management,married,university.degree,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no,1171
30.0,admin.,single,university.degree,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,yes,7817
58.0,admin.,divorced,high.school,no,no,no,telephone,oct,thu,1,999,0,nonexistent,-0.1,93.79799999999999,-40.4,4.794,5195.8,999.0,0,no,528
27.0,blue-collar,single,,no,yes,no,cellular,jul,wed,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,4401
34.0,blue-collar,single,,no,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,no,3917
26.0,student,single,,no,no,no,cellular,nov,fri,1,7,1,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,0.233333333,2,yes,7796
29.0,services,married,,no,yes,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,999.0,0,no,613
41.0,technician,married,professional.course,no,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,6805
35.0,admin.,married,,no,no,yes,telephone,jun,thu,5,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,no,1922
,retired,divorced,university.degree,no,yes,no,cellular,aug,,5,999,1,failure,-2.9,92.20100000000001,-31.4,0.8340000000000001,5076.2,999.0,4,no,3659
,technician,single,professional.course,no,no,no,cellular,aug,mon,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.861,5076.2,999.0,1,no,5090
32.0,housemaid,married,basic.4y,no,yes,yes,cellular,may,fri,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,0,no,2154
,admin.,single,university.degree,no,yes,yes,cellular,jul,fri,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,no,3578
44.0,unemployed,divorced,,no,no,no,telephone,may,wed,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,no,6082
26.0,blue-collar,married,,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,no,4399
,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,4254
50.0,management,married,,unknown,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no,1555
51.0,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,no,3289
,admin.,married,university.degree,no,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,no,1053
29.0,self-employed,married,university.degree,unknown,yes,no,telephone,jun,wed,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,no,3065
29.0,admin.,single,university.degree,no,yes,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,no,6995
,unemployed,single,basic.4y,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2590000000000001,5099.1,999.0,0,no,681
60.0,admin.,married,unknown,unknown,no,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,5121
30.0,blue-collar,single,high.school,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,no,6866
,technician,married,high.school,no,yes,no,cellular,jul,tue,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,yes,8160
45.0,blue-collar,married,basic.6y,no,yes,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no,5607
43.0,self-employed,married,university.degree,unknown,yes,yes,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,6077
53.0,services,married,high.school,no,yes,no,telephone,may,wed,9,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,no,2073
36.0,housemaid,married,basic.6y,no,no,no,cellular,aug,mon,9,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no,6061
,student,married,professional.course,unknown,no,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,no,1881
36.0,services,married,high.school,unknown,yes,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,no,6694
31.0,admin.,married,high.school,unknown,no,no,cellular,jul,wed,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,4790
,technician,single,,no,yes,no,cellular,may,fri,5,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,0,no,5833
25.0,blue-collar,single,basic.4y,no,no,no,telephone,jun,wed,19,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,no,5990
52.0,management,divorced,university.degree,no,yes,yes,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,999.0,0,no,4306
34.0,admin.,single,,no,yes,no,cellular,nov,,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no,6612
,housemaid,married,university.degree,no,no,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.099,5076.2,999.0,0,yes,8237
30.0,admin.,married,,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.7,5195.8,999.0,0,no,4848
43.0,entrepreneur,married,professional.course,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,999.0,0,no,299
29.0,admin.,married,,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,no,2447
58.0,technician,married,professional.course,no,yes,no,cellular,sep,thu,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,999.0,0,no,6054
29.0,housemaid,single,university.degree,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,999.0,0,no,5469
,technician,married,professional.course,no,yes,yes,telephone,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,3.9010000000000002,5195.8,999.0,0,no,6349
42.0,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,no,3032
55.0,services,married,basic.9y,no,yes,no,cellular,dec,,1,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,0.2,4,yes,7476
46.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,999.0,0,yes,7323
34.0,technician,single,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,no,180
,student,single,high.school,no,no,no,cellular,may,mon,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,999.0,3,no,4776
30.0,admin.,divorced,,no,yes,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no,4059
,unemployed,single,,no,no,no,cellular,jun,,2,999,0,nonexistent,-1.7,94.055,-39.8,0.748,4991.6,999.0,0,no,6066
42.0,admin.,divorced,high.school,no,yes,no,cellular,may,,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,1,no,4853
52.0,services,married,basic.4y,no,yes,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,2706
33.0,blue-collar,single,,unknown,yes,no,telephone,jun,,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999.0,0,no,1989
35.0,technician,married,professional.course,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no,2610
44.0,admin.,single,high.school,no,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,1003
45.0,services,single,high.school,unknown,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,no,45
41.0,services,married,,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no,5943
,admin.,single,high.school,no,no,no,telephone,jul,thu,1,999,0,nonexistent,-1.7,94.215,-40.3,0.899,4991.6,999.0,0,no,2799
60.0,retired,married,professional.course,no,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,no,4893
42.0,technician,married,professional.course,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,yes,7961
53.0,blue-collar,married,basic.4y,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,no,2861
48.0,housemaid,married,professional.course,no,yes,no,cellular,jul,wed,2,6,2,success,-1.7,94.215,-40.3,0.8959999999999999,4991.6,0.2,0,yes,7753
,management,married,,no,yes,yes,cellular,jun,thu,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,no,2603
30.0,admin.,married,high.school,no,yes,no,cellular,jul,fri,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,999.0,0,no,5120
45.0,blue-collar,married,,unknown,yes,no,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,999.0,2,no,6654
53.0,unknown,married,high.school,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,no,3767
,technician,single,professional.course,no,no,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,3769
,admin.,married,basic.9y,no,yes,no,cellular,may,tue,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,999.0,2,no,6431
59.0,retired,married,basic.4y,no,yes,no,telephone,jun,mon,4,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,no,702
36.0,technician,married,high.school,no,no,no,cellular,nov,tue,2,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,999.0,3,no,1548
,admin.,single,university.degree,no,no,no,cellular,aug,wed,4,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,no,4666
34.0,self-employed,single,university.degree,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,999.0,0,no,1401
57.0,management,married,professional.course,unknown,yes,no,cellular,nov,thu,2,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,no,4120
55.0,services,married,high.school,no,yes,no,cellular,aug,,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,23
27.0,admin.,single,university.degree,no,no,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,no,2748
38.0,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,999.0,0,no,2964
,admin.,single,high.school,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no,7084
28.0,services,married,high.school,no,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,999.0,0,no,7192
,admin.,single,university.degree,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,1820
58.0,technician,married,,no,no,no,cellular,aug,tue,2,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.883,5076.2,999.0,0,no,5592
31.0,blue-collar,married,basic.6y,no,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,5473
29.0,blue-collar,single,high.school,unknown,no,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999.0,0,no,4182
37.0,technician,single,professional.course,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no,2127
35.0,admin.,single,,no,yes,yes,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.883,5076.2,999.0,0,no,298
,unemployed,single,university.degree,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,6377
65.0,self-employed,married,professional.course,no,no,no,telephone,apr,tue,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no,6850
39.0,technician,single,professional.course,no,no,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,862
29.0,services,divorced,,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,0,no,6927
29.0,admin.,married,basic.6y,no,yes,no,cellular,may,fri,6,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,2,no,775
42.0,admin.,divorced,university.degree,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,1153
53.0,admin.,married,,no,yes,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,yes,7909
39.0,blue-collar,married,basic.9y,no,yes,no,cellular,apr,wed,1,999,1,failure,-1.8,93.075,-47.1,1.445,5099.1,999.0,5,no,22
48.0,housemaid,married,basic.6y,no,yes,no,cellular,nov,wed,4,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,999.0,2,no,1829
32.0,admin.,single,university.degree,no,yes,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,yes,8147
,blue-collar,married,basic.4y,unknown,no,no,cellular,may,tue,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,999.0,2,no,3043
38.0,admin.,single,university.degree,no,yes,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,no,6993
27.0,technician,single,high.school,no,yes,no,cellular,jul,mon,11,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,3893
30.0,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,172
31.0,entrepreneur,single,university.degree,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,no,6774
39.0,technician,married,high.school,no,no,no,cellular,jul,wed,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,2193
,student,single,high.school,no,yes,yes,telephone,may,wed,4,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,1,no,4060
26.0,blue-collar,single,,no,yes,yes,cellular,may,fri,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,2,no,4462
46.0,admin.,single,high.school,no,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999.0,0,no,5501
33.0,admin.,single,,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,-1.7,94.215,-40.3,0.7929999999999999,4991.6,999.0,0,no,6271
39.0,admin.,single,,unknown,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,no,4633
,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,999.0,1,no,134
,technician,married,university.degree,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no,2125
,technician,married,professional.course,unknown,yes,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no,2305
26.0,unemployed,single,basic.9y,no,yes,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,1723
32.0,admin.,single,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,999.0,0,no,2343
,admin.,single,high.school,no,no,no,cellular,mar,fri,2,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.531,5099.1,999.0,0,yes,8104
34.0,management,married,university.degree,no,yes,no,telephone,may,fri,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,4,no,6710
59.0,retired,divorced,university.degree,no,no,no,telephone,jun,mon,6,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999.0,0,yes,7591
,admin.,married,high.school,unknown,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,2820
